activation,control_ssim,finetune_lr,finetune_optimizer,full_coeff_error,full_ssim,lora_coeff_error,lora_ssim,lr_schedule,n_per_class,n_steps,rank,seed,task
leaky_relu,0.39698100090026855,0.01,sgd,0.24695975290080557,0.5632367134094238,,,constant,1,1,,1,b6_seeds
leaky_relu,0.3969815969467163,0.01,sgd,,,0.24697216328600363,0.5632339715957642,constant,1,1,8,1,b6_seeds
leaky_relu,0.39698100090026855,0.01,sgd,0.24695975990359975,0.5632367134094238,,,inv_T,1,10,,1,b6_seeds
leaky_relu,0.3969816565513611,0.01,sgd,,,0.24697219468549725,0.5632339119911194,inv_T,1,10,8,1,b6_seeds
leaky_relu,0.23791024088859558,0.001,adamw,0.0028839294186334616,0.4217691421508789,,,constant,1,1,,1,b6_seeds
leaky_relu,0.23570676147937775,0.001,adamw,,,0.004777946830276242,0.40260541439056396,constant,1,1,8,1,b6_seeds
leaky_relu,0.23598802089691162,0.001,adamw,0.002170117531623487,0.4137918949127197,,,inv_T,1,10,,1,b6_seeds
leaky_relu,0.23564781248569489,0.001,adamw,,,0.004859664535852462,0.40230226516723633,inv_T,1,10,8,1,b6_seeds
leaky_relu,0.35923486948013306,0.01,sgd,0.22992732700180377,0.56882244348526,,,constant,1,1,,13,b6_seeds
leaky_relu,0.359233021736145,0.01,sgd,,,0.2299747154977858,0.5688049793243408,constant,1,1,8,13,b6_seeds
leaky_relu,0.35923486948013306,0.01,sgd,0.22992745957021804,0.5688223838806152,,,inv_T,1,10,,13,b6_seeds
leaky_relu,0.35923299193382263,0.01,sgd,,,0.22997472926503526,0.5688049793243408,inv_T,1,10,8,13,b6_seeds
leaky_relu,0.19405996799468994,0.001,adamw,0.004819885788504255,0.40137365460395813,,,constant,1,1,,13,b6_seeds
leaky_relu,0.1987593024969101,0.001,adamw,,,0.006001968941609527,0.3852846622467041,constant,1,1,8,13,b6_seeds
leaky_relu,0.19447658956050873,0.001,adamw,0.0023389018723630767,0.3921620845794678,,,inv_T,1,10,,13,b6_seeds
leaky_relu,0.19875147938728333,0.001,adamw,,,0.005870886322552666,0.38392454385757446,inv_T,1,10,8,13,b6_seeds
leaky_relu,0.3985121548175812,0.01,sgd,0.23519428421611932,0.5401554703712463,,,constant,1,1,,37,b6_seeds
leaky_relu,0.3984982967376709,0.01,sgd,,,0.23529806550054197,0.5401051044464111,constant,1,1,8,37,b6_seeds
leaky_relu,0.39851197600364685,0.01,sgd,0.23519548669265986,0.5401550531387329,,,inv_T,1,10,,37,b6_seeds
leaky_relu,0.3984982967376709,0.01,sgd,,,0.23529827478864368,0.5401050448417664,inv_T,1,10,8,37,b6_seeds
leaky_relu,0.22875505685806274,0.001,adamw,0.004325397286473129,0.38844841718673706,,,constant,1,1,,37,b6_seeds
leaky_relu,0.2217826545238495,0.001,adamw,,,0.004513236108250494,0.36196887493133545,constant,1,1,8,37,b6_seeds
leaky_relu,0.2235662192106247,0.001,adamw,0.0021884521906147805,0.3752360939979553,,,inv_T,1,10,,37,b6_seeds
leaky_relu,0.22193799912929535,0.001,adamw,,,0.004702728569113072,0.3621545433998108,inv_T,1,10,8,37,b6_seeds
leaky_relu,0.3489222526550293,0.01,sgd,0.24898599089718726,0.4966023564338684,,,constant,1,1,,77,b6_seeds
leaky_relu,0.3489222526550293,0.01,sgd,,,0.24898599089783657,0.4966023564338684,constant,1,1,8,77,b6_seeds
leaky_relu,0.3489222526550293,0.01,sgd,0.24898599089719062,0.4966023564338684,,,inv_T,1,10,,77,b6_seeds
leaky_relu,0.3489222526550293,0.01,sgd,,,0.24898599089783657,0.4966023564338684,inv_T,1,10,8,77,b6_seeds
leaky_relu,0.30663421750068665,0.001,adamw,0.2551547415543012,0.4541112184524536,,,constant,1,1,,77,b6_seeds
leaky_relu,0.30552101135253906,0.001,adamw,,,0.2518058677160818,0.4529753625392914,constant,1,1,8,77,b6_seeds
leaky_relu,0.30663418769836426,0.001,adamw,0.2551547149718683,0.4541111886501312,,,inv_T,1,10,,77,b6_seeds
leaky_relu,0.30552101135253906,0.001,adamw,,,0.2518058680034893,0.4529753625392914,inv_T,1,10,8,77,b6_seeds
leaky_relu,0.41458192467689514,0.01,sgd,0.25516431955429764,0.585885763168335,,,constant,1,1,,256,b6_seeds
leaky_relu,0.41456684470176697,0.01,sgd,,,0.2552264662336125,0.5858572721481323,constant,1,1,8,256,b6_seeds
leaky_relu,0.4145819842815399,0.01,sgd,0.25516440564842496,0.585885763168335,,,inv_T,1,10,,256,b6_seeds
leaky_relu,0.41456684470176697,0.01,sgd,,,0.2552264628824606,0.5858573317527771,inv_T,1,10,8,256,b6_seeds
leaky_relu,0.24585384130477905,0.001,adamw,0.003443300544569667,0.42673245072364807,,,constant,1,1,,256,b6_seeds
leaky_relu,0.2509290874004364,0.001,adamw,,,0.006284612924039021,0.4193543791770935,constant,1,1,8,256,b6_seeds
leaky_relu,0.2475755214691162,0.001,adamw,0.001958993666509321,0.42274561524391174,,,inv_T,1,10,,256,b6_seeds
leaky_relu,0.2510446310043335,0.001,adamw,,,0.005932277837330907,0.41958481073379517,inv_T,1,10,8,256,b6_seeds
leaky_relu,0.39281362295150757,0.01,sgd,0.23264609907769077,0.5628265738487244,,,constant,1,1,,314,b6_seeds
leaky_relu,0.39281368255615234,0.01,sgd,,,0.2326467578163784,0.5628264546394348,constant,1,1,8,314,b6_seeds
leaky_relu,0.39281362295150757,0.01,sgd,0.2326460990880025,0.5628265738487244,,,inv_T,1,10,,314,b6_seeds
leaky_relu,0.39281368255615234,0.01,sgd,,,0.23264675781706873,0.5628264546394348,inv_T,1,10,8,314,b6_seeds
leaky_relu,0.22064903378486633,0.001,adamw,0.0014737637509605142,0.37635117769241333,,,constant,1,1,,314,b6_seeds
leaky_relu,0.22404661774635315,0.001,adamw,,,0.0037529769824498297,0.3666234612464905,constant,1,1,8,314,b6_seeds
