activation,matched_lr,weight_change,lin_err_fs
softplus,0.017294,0.04986,0.069674
tanh,0.016297,0.05027,0.097738
silu,0.056712,0.05123,0.028849
gelu,0.050361,0.04912,0.025658
mish,0.037424,0.05042,0.031972
sigmoid,0.063863,0.04864,0.019504
elu,0.016297,0.05092,0.085785
selu,0.010134,0.0508,0.118571
hardswish,0.056712,0.04915,0.029411
leaky_relu,0.019474,0.04855,0.562069
relu,0.019474,0.04865,0.575832
softplus_b0.5,0.007097,0.04991,0.129885
softplus_b2,0.031317,0.04892,0.038245
softplus_b5,0.033233,0.05076,0.061646
softplus_b10,0.029511,0.05067,0.116078
softplus_b50,0.02193,0.04839,0.362265
