seed,mode,rank,ssim,dssim,coeff_error
0,oracle,8,0.3471614122390747,,
0,free_c,8,0.5774072408676147,,0.2464
1,oracle,8,0.38430964946746826,,
1,free_c,8,0.5528447031974792,,0.2599
2,oracle,8,0.394000768661499,,
2,free_c,8,0.5724412202835083,,0.2465
3,oracle,8,0.36104175448417664,,
3,free_c,8,0.5167554020881653,,0.2512
4,oracle,8,0.5003392696380615,,
4,free_c,8,0.5216766595840454,,0.1371
5,oracle,8,0.37284207344055176,,
5,free_c,8,0.5761831998825073,,0.2465
6,oracle,8,0.3647569417953491,,
6,free_c,8,0.5569672584533691,,0.2465
7,oracle,8,0.37582194805145264,,
7,free_c,8,0.5240257978439331,,0.2504
8,oracle,8,0.3832300901412964,,
8,free_c,8,0.534422755241394,,0.2436
9,oracle,8,0.33488893508911133,,
9,free_c,8,0.5296931862831116,,0.2612
10,oracle,8,0.37088364362716675,,
10,free_c,8,0.5262613296508789,,0.2514
11,oracle,8,0.40314534306526184,,
11,free_c,8,0.5500391721725464,,0.2682
12,oracle,8,0.653982937335968,,
12,free_c,8,0.6546317934989929,,0.0287
13,oracle,8,0.36006394028663635,,
13,free_c,8,0.5510191321372986,,0.2468
14,oracle,8,0.40614748001098633,,
14,free_c,8,0.6094772815704346,,0.2461
15,oracle,8,0.3702690601348877,,
15,free_c,8,0.5517128109931946,,0.2459
16,oracle,8,0.36336755752563477,,
16,free_c,8,0.4961916208267212,,0.2664
17,oracle,8,0.32598891854286194,,
17,free_c,8,0.5280584096908569,,0.2458
18,oracle,8,0.421003133058548,,
18,free_c,8,0.5902982354164124,,0.2469
19,oracle,8,0.4020698070526123,,
19,free_c,8,0.5700069069862366,,0.2076
20,oracle,8,0.3778110146522522,,
20,free_c,8,0.5446000099182129,,0.2465
21,oracle,8,0.37652719020843506,,
21,free_c,8,0.5819625854492188,,0.2468
22,oracle,8,0.3885713219642639,,
22,free_c,8,0.5911592245101929,,0.2457
23,oracle,8,0.35626357793807983,,
23,free_c,8,0.5527485609054565,,0.2471
24,oracle,8,0.5005121827125549,,
24,free_c,8,0.5796964168548584,,0.1735
25,oracle,8,0.4045362174510956,,
25,free_c,8,0.564406156539917,,0.2465
26,oracle,8,0.35759708285331726,,
26,free_c,8,0.4957263767719269,,0.2666
27,oracle,8,0.36191800236701965,,
27,free_c,8,0.5580875277519226,,0.2472
28,oracle,8,0.3752698302268982,,
28,free_c,8,0.5898342728614807,,0.2466
29,oracle,8,0.6217046976089478,,
29,free_c,8,0.5948206782341003,,0.0926
30,oracle,8,0.37949058413505554,,
30,free_c,8,0.5728670954704285,,0.2464
31,oracle,8,0.3698514997959137,,
31,free_c,8,0.5322338938713074,,0.2464
32,oracle,8,0.3758218288421631,,
32,free_c,8,0.5543549060821533,,0.2466
33,oracle,8,0.579878032207489,,
33,free_c,8,0.5673970580101013,,0.0463
34,oracle,8,0.3711931109428406,,
34,free_c,8,0.5095134973526001,,0.2848
35,oracle,8,0.34647059440612793,,
35,free_c,8,0.4975619912147522,,0.2416
36,oracle,8,0.3693986237049103,,
36,free_c,8,0.5617601275444031,,0.2467
37,oracle,8,0.3696253299713135,,
37,free_c,8,0.5538598895072937,,0.2463
38,oracle,8,0.4189510941505432,,
38,free_c,8,0.595443606376648,,0.2667
39,oracle,8,0.3550971746444702,,
39,free_c,8,0.5450266599655151,,0.2465
40,oracle,8,0.6231120824813843,,
40,free_c,8,0.57062828540802,,0.0838
41,oracle,8,0.3769960105419159,,
41,free_c,8,0.5391606092453003,,0.2793
42,oracle,8,0.7682623863220215,,
42,free_c,8,0.5911916494369507,,0.1198
43,oracle,8,0.34767481684684753,,
43,free_c,8,0.5148180723190308,,0.2465
44,oracle,8,0.38964226841926575,,
44,free_c,8,0.5508438348770142,,0.2454
45,oracle,8,0.3820250332355499,,
45,free_c,8,0.5328526496887207,,0.2475
46,oracle,8,0.4087525010108948,,
46,free_c,8,0.6157845854759216,,0.2383
47,oracle,8,0.3657630681991577,,
47,free_c,8,0.5439902544021606,,0.2484
48,oracle,8,0.41151729226112366,,
48,free_c,8,0.5741006135940552,,0.2465
49,oracle,8,0.3864390254020691,,
49,free_c,8,0.5634310245513916,,0.2504
