config_name,config_index,tv_weight,lr,n_iters,n_restarts,ssim,psnr,mse,best_cos_sim,inversion_time,freq_weight,lpips_weight
35_tv1e-01_lr0.05_it30000,35,0.1,0.05,30000,2,0.5483402013778687,15.113306391194882,0.03080841526389122,0.9551126956939697,5866.20247220993,0.0,0.0
36_tv1e-01_lr0.1_it10000,36,0.1,0.1,10000,4,0.49573054909706116,12.928843105401121,0.05094665661454201,0.9547257423400879,2032.4511198997498,0.0,0.0
33_tv1e-01_lr0.01_it30000,33,0.1,0.01,30000,2,0.46888110041618347,12.436232967097363,0.05706590414047241,0.9412251114845276,5779.520809650421,0.0,0.0
37_tv1e-01_lr0.1_it30000,37,0.1,0.1,30000,2,0.46865975856781006,12.813611483598212,0.05231652036309242,0.9545051455497742,5772.859277486801,0.0,0.0
38_tv1e-01_lr0.5_it10000,38,0.1,0.5,10000,4,0.46545541286468506,12.197813267988932,0.06028630584478378,0.9463866949081421,3838.6788108348846,0.0,0.0
39_tv1e-01_lr0.5_it30000,39,0.1,0.5,30000,2,0.4634937047958374,12.265773218204128,0.05935026705265045,0.9587491750717163,5864.852865934372,0.0,0.0
34_tv1e-01_lr0.05_it10000,34,0.1,0.05,10000,4,0.3846464455127716,12.229447122858447,0.05984877794981003,0.9297451972961426,3841.637293815613,0.0,0.0
16_tv2e-02_lr0.01_it10000,16,0.02,0.01,10000,4,0.2666427791118622,11.750064972807994,0.06683339178562164,0.9211323857307434,3440.51069521904,0.0,0.0
20_tv2e-02_lr0.1_it10000,20,0.02,0.1,10000,4,0.21913836896419525,12.61179438257839,0.05480504781007767,0.9244637489318848,13508.301452636719,0.0,0.0
12_tv1e-02_lr0.1_it10000,12,0.01,0.1,10000,4,0.20704801380634308,11.604866460955414,0.0691056177020073,0.9599474668502808,13508.282142877579,0.0,0.0
17_tv2e-02_lr0.01_it30000,17,0.02,0.01,30000,2,0.20632261037826538,11.371290997701056,0.07292407006025314,0.9265457987785339,4910.659577846527,0.0,0.0
15_tv1e-02_lr0.5_it30000,15,0.01,0.5,30000,2,0.20626400411128998,12.428262043461629,0.05717073753476143,0.9522286653518677,5194.608444452286,0.0,0.0
11_tv1e-02_lr0.05_it30000,11,0.01,0.05,30000,2,0.19307692348957062,12.13363982437303,0.06118373945355415,0.9604566693305969,16406.192868232727,0.0,0.0
19_tv2e-02_lr0.05_it30000,19,0.02,0.05,30000,2,0.18879248201847076,11.846021547421724,0.06537291407585144,0.9282261729240417,16405.48381948471,0.0,0.0
18_tv2e-02_lr0.05_it10000,18,0.02,0.05,10000,4,0.18690580129623413,11.610311196417666,0.06901903450489044,0.9254360795021057,13508.171330928802,0.0,0.0
13_tv1e-02_lr0.1_it30000,13,0.01,0.1,30000,2,0.17422068119049072,11.301905531372146,0.07409850507974625,0.945395827293396,5069.130568265915,0.0,0.0
14_tv1e-02_lr0.5_it10000,14,0.01,0.5,10000,4,0.16605664789676666,10.482515430151146,0.08948463201522827,0.9437819123268127,3384.715930700302,0.0,0.0
10_tv1e-02_lr0.05_it10000,10,0.01,0.05,10000,4,0.13825774192810059,12.378271237960865,0.05783262103796005,0.924041211605072,13508.293714284897,0.0,0.0
09_tv1e-02_lr0.01_it30000,9,0.01,0.01,30000,2,0.13507145643234253,11.272643603725307,0.07459945231676102,0.918533444404602,16405.97695827484,0.0,0.0
03_tv5e-03_lr0.05_it30000,3,0.005,0.05,30000,2,0.12354019284248352,11.62276305738947,0.06882143020629883,0.9497904777526855,20286.719947576523,0.0,0.0
07_tv5e-03_lr0.5_it30000,7,0.005,0.5,30000,2,0.12080775201320648,11.55165935927986,0.06995746493339539,0.9445090293884277,20286.70602607727,0.0,0.0
06_tv5e-03_lr0.5_it10000,6,0.005,0.5,10000,4,0.11749986559152603,11.057104292167512,0.07839521765708923,0.9443747401237488,16236.092561244965,0.0,0.0
04_tv5e-03_lr0.1_it10000,4,0.005,0.1,10000,4,0.11431625485420227,10.712835655414928,0.084862619638443,0.9469597339630127,16236.134803056717,0.0,0.0
08_tv1e-02_lr0.01_it10000,8,0.01,0.01,10000,4,0.11358005553483963,11.062397706460949,0.07829972356557846,0.8780462741851807,3288.5324337482452,0.0,0.0
01_tv5e-03_lr0.01_it30000,1,0.005,0.01,30000,2,0.10906989872455597,10.534651340184567,0.08841681480407715,0.9237077832221985,5177.869322538376,0.0,0.0
05_tv5e-03_lr0.1_it30000,5,0.005,0.1,30000,2,0.103793203830719,11.367075095517258,0.0729948952794075,0.9443680644035339,20286.647099018097,0.0,0.0
00_tv5e-03_lr0.01_it10000,0,0.005,0.01,10000,4,0.09666936099529266,10.922809282567854,0.08085726946592331,0.8780637979507446,3488.3100130558014,0.0,0.0
02_tv5e-03_lr0.05_it10000,2,0.005,0.05,10000,4,0.09488579630851746,11.29082882744523,0.07428773492574692,0.9219507575035095,16236.092034816742,0.0,0.0
00_tv5e-03_lr0.01_it50,0,0.005,0.01,50,1,0.02092323824763298,9.366724893749714,0.11569844186306,0.1547393798828125,9.429059743881226,0.0,0.0
