file,recon,top1_pixel,rank_pixel,top1_ncc,rank_ncc,top1_ssim,rank_ssim,top1_feat,rank_feat,n,random_top1,rank,n_per_class,seed
exp_b_T1_full_s42_a149_npc16.pth,full,0.0625,15.875,0.09375,15.53125,0.125,14.75,0.09375,16.25,32,0.03125,,16,42
exp_b_T1_full_s42_a149_npc2.pth,full,0.5,1.75,1.0,1.0,0.75,1.25,0.5,2.25,4,0.25,,2,42
exp_b_T1_full_s42_a149_npc4.pth,full,0.25,4.125,0.375,3.25,0.375,3.5,0.375,4.25,8,0.125,,4,42
exp_b_T1_full_s42_a149_npc8.pth,full,0.125,8.125,0.1875,7.125,0.1875,7.4375,0.1875,8.25,16,0.0625,,8,42
exp_b_T1_full_s43_a149_npc16.pth,full,0.0625,16.40625,0.0625,16.4375,0.0625,16.875,0.0625,16.1875,32,0.03125,,16,43
exp_b_T1_full_s43_a149_npc2.pth,full,0.25,2.5,0.25,2.5,0.25,2.5,0.25,2.5,4,0.25,,2,43
exp_b_T1_full_s43_a149_npc4.pth,full,0.375,3.375,0.375,3.625,0.375,3.875,0.375,3.75,8,0.125,,4,43
exp_b_T1_full_s43_a149_npc8.pth,full,0.25,7.25,0.25,7.0,0.25,6.9375,0.25,7.5,16,0.0625,,8,43
exp_b_T1_full_s44_a149_npc16.pth,full,0.0625,16.53125,0.125,15.65625,0.0625,14.34375,0.125,16.15625,32,0.03125,,16,44
exp_b_T1_full_s44_a149_npc2.pth,full,0.5,2.25,0.75,1.75,0.75,1.75,0.5,2.0,4,0.25,,2,44
exp_b_T1_full_s44_a149_npc4.pth,full,0.25,4.5,0.375,3.75,0.375,3.625,0.375,3.875,8,0.125,,4,44
exp_b_T1_full_s44_a149_npc8.pth,full,0.3125,7.4375,0.375,5.875,0.375,5.375,0.375,6.4375,16,0.0625,,8,44
exp_b_T1_r8_s42_a149_npc16.pth,lora,0.03125,16.28125,0.0625,15.6875,0.0625,15.09375,0.03125,16.4375,32,0.03125,8,16,42
exp_b_T1_r8_s42_a149_npc2.pth,lora,0.25,2.25,0.75,1.75,0.75,1.75,0.5,2.25,4,0.25,8,2,42
exp_b_T1_r8_s42_a149_npc4.pth,lora,0.125,4.875,0.25,4.125,0.25,4.375,0.125,4.625,8,0.125,8,4,42
exp_b_T1_r8_s42_a149_npc8.pth,lora,0.125,8.8125,0.125,8.125,0.125,8.1875,0.0625,8.5625,16,0.0625,8,8,42
exp_b_T1_r8_s43_a149_npc16.pth,lora,0.03125,15.6875,0.0625,16.25,0.03125,15.78125,0.03125,16.6875,32,0.03125,8,16,43
exp_b_T1_r8_s43_a149_npc2.pth,lora,0.25,2.5,0.25,2.5,0.25,2.5,0.25,2.5,4,0.25,8,2,43
exp_b_T1_r8_s43_a149_npc4.pth,lora,0.25,4.25,0.25,4.5,0.25,4.75,0.125,4.5,8,0.125,8,4,43
exp_b_T1_r8_s43_a149_npc8.pth,lora,0.125,8.0,0.125,8.0625,0.125,8.125,0.125,8.4375,16,0.0625,8,8,43
exp_b_T1_r8_s44_a149_npc16.pth,lora,0.03125,16.9375,0.09375,15.59375,0.0625,15.5,0.0625,16.65625,32,0.03125,8,16,44
exp_b_T1_r8_s44_a149_npc2.pth,lora,0.25,2.5,0.5,2.0,0.5,2.0,0.0,2.75,4,0.25,8,2,44
exp_b_T1_r8_s44_a149_npc4.pth,lora,0.125,5.375,0.25,4.625,0.25,4.5,0.125,4.75,8,0.125,8,4,44
exp_b_T1_r8_s44_a149_npc8.pth,lora,0.125,8.5,0.1875,7.8125,0.125,7.3125,0.125,8.4375,16,0.0625,8,8,44
