activation,control_ssim,effective_lr,feature_stability,full_linearization_error,full_ssim,lora_linearization_error,lora_ssim,lr_schedule,n_steps,phase,rank,seed,weight_change
relu,0.6719303727149963,0.01,0.7494568388995299,1.6021063965502168e-15,0.9606730937957764,,,constant,1,1,,42,0.024983868644015726
relu,0.6719303727149963,0.01,0.7494568388995299,1.6021063965502168e-15,0.9606730937957764,1.000926501481681,0.03953944519162178,constant,1,1,1,42,0.024983868644015726
relu,0.03045106679201126,0.01,,,,1.0067332093223655,0.07188249379396439,constant,1,1,4,42,
relu,0.13975889980793,0.01,,,,1.0003417179120424,0.18486803770065308,constant,1,1,8,42,
relu,0.4283650517463684,0.01,,,,1.0198741545402683,0.5734070539474487,constant,1,1,32,42,
relu,0.44217050075531006,0.01,,,,1.1444121616848115,0.5542128086090088,constant,1,1,64,42,
relu,0.6111472845077515,0.01,0.7494549589291981,0.999848103437379,0.8163449764251709,,,constant,2,1,,42,0.024985766440438976
relu,0.6111472845077515,0.01,0.7494549589291981,0.999848103437379,0.8163449764251709,1.0046802880641248,0.05017511546611786,constant,2,1,1,42,0.024985766440438976
relu,0.039578136056661606,0.01,,,,1.025278130016303,0.06444606184959412,constant,2,1,4,42,
relu,0.13429276645183563,0.01,,,,1.016779971177795,0.17633213102817535,constant,2,1,8,42,
relu,0.44930899143218994,0.01,,,,1.089951649215038,0.6027976274490356,constant,2,1,32,42,
relu,0.3350384831428528,0.01,,,,1.2237828027445223,0.4126437306404114,constant,2,1,64,42,
relu,0.6091256141662598,0.01,0.7494493495502279,3.998487604274314,0.7859148979187012,,,constant,5,1,,42,0.024991428705520572
relu,0.6091256141662598,0.01,0.7494493495502279,3.998487604274314,0.7859148979187012,1.0423305598889865,0.0506950281560421,constant,5,1,1,42,0.024991428705520572
relu,0.0487123504281044,0.01,,,,1.1188437228016455,0.08238918334245682,constant,5,1,4,42,
relu,0.15922658145427704,0.01,,,,1.2069859472624953,0.2127852439880371,constant,5,1,8,42,
relu,0.36187031865119934,0.01,,,,1.7261497148903655,0.508730411529541,constant,5,1,32,42,
