activation,control_ssim,effective_lr,feature_stability,full_linearization_error,full_ssim,init_seed,lora_linearization_error,lora_ssim,lr_schedule,n_steps,phase,rank,restart,seed,weight_change
leaky_relu,0.6926798224449158,0.01,0.7518247206960298,1.794161185960872e-15,0.9999916553497314,42,,,constant,1,2,,0,42,0.02492856502813777
leaky_relu,0.6926798224449158,0.01,0.7518247206960298,1.794161185960872e-15,0.9999916553497314,1042,,,constant,1,2,,1,42,0.02492856502813777
leaky_relu,0.6926798224449158,0.01,0.7518247206960298,1.794161185960872e-15,0.9999916553497314,2042,,,constant,1,2,,2,42,0.02492856502813777
leaky_relu,0.6926798224449158,0.01,0.7518247206960298,1.794161185960872e-15,0.9999916553497314,42,1.0005297527962989,0.8302084803581238,constant,1,2,8,0,42,0.02492856502813777
leaky_relu,0.6926798224449158,0.01,0.7518247206960298,1.794161185960872e-15,0.9999916553497314,1042,1.0227068419413567,0.8093817234039307,constant,1,2,8,1,42,0.02492856502813777
leaky_relu,0.6926798224449158,0.01,0.7518247206960298,1.794161185960872e-15,0.9999916553497314,2042,1.0419361582317888,0.7700234651565552,constant,1,2,8,2,42,0.02492856502813777
leaky_relu,0.6277834177017212,0.01,,,,42,1.0200198008020944,0.8300708532333374,constant,1,2,32,0,42,
leaky_relu,0.6278219223022461,0.01,,,,1042,1.0200198008020944,0.8300991654396057,constant,1,2,32,1,42,
leaky_relu,0.6277834177017212,0.01,,,,2042,1.0200198008020944,0.8300708532333374,constant,1,2,32,2,42,
leaky_relu,0.6224918365478516,0.01,0.7518170764185248,3.99848124606526,0.8054165244102478,42,,,constant,5,2,,0,42,0.024936140054362562
leaky_relu,0.6224918365478516,0.01,0.7518170764185248,3.99848124606526,0.8054165244102478,1042,,,constant,5,2,,1,42,0.024936140054362562
leaky_relu,0.6224918365478516,0.01,0.7518170764185248,3.99848124606526,0.8054165244102478,2042,,,constant,5,2,,2,42,0.024936140054362562
leaky_relu,0.6224918365478516,0.01,0.7518170764185248,3.99848124606526,0.8054165244102478,42,1.208066946282628,0.7930028438568115,constant,5,2,8,0,42,0.024936140054362562
leaky_relu,0.6224918365478516,0.01,0.7518170764185248,3.99848124606526,0.8054165244102478,1042,1.2200925709996846,0.7934732437133789,constant,5,2,8,1,42,0.024936140054362562
leaky_relu,0.6224918365478516,0.01,0.7518170764185248,3.99848124606526,0.8054165244102478,2042,1.18838755292468,0.7657167911529541,constant,5,2,8,2,42,0.024936140054362562
leaky_relu,0.6152764558792114,0.01,,,,42,1.7212963876654424,0.7908562421798706,constant,5,2,32,0,42,
leaky_relu,0.6152341365814209,0.01,,,,1042,1.7212963876654424,0.7906620502471924,constant,5,2,32,1,42,
leaky_relu,0.6152341365814209,0.01,,,,2042,1.7212963876654424,0.7906625270843506,constant,5,2,32,2,42,
leaky_relu,0.6174185276031494,0.01,0.750978051974456,8.99321670051021,0.787707507610321,42,,,constant,10,2,,0,42,0.024945487748499216
leaky_relu,0.6174185276031494,0.01,0.750978051974456,8.99321670051021,0.787707507610321,1042,,,constant,10,2,,1,42,0.024945487748499216
leaky_relu,0.6174185276031494,0.01,0.750978051974456,8.99321670051021,0.787707507610321,2042,,,constant,10,2,,2,42,0.024945487748499216
leaky_relu,0.6174185276031494,0.01,0.750978051974456,8.99321670051021,0.787707507610321,42,1.7512285242027177,0.7802556157112122,constant,10,2,8,0,42,0.024945487748499216
leaky_relu,0.6174185276031494,0.01,0.750978051974456,8.99321670051021,0.787707507610321,1042,1.7480409279536007,0.7800891399383545,constant,10,2,8,1,42,0.024945487748499216
leaky_relu,0.6174185276031494,0.01,0.750978051974456,8.99321670051021,0.787707507610321,2042,1.6235578066772793,0.7773736715316772,constant,10,2,8,2,42,0.024945487748499216
leaky_relu,0.6148051023483276,0.01,,,,42,3.0812173936856726,0.7811087369918823,constant,10,2,32,0,42,
leaky_relu,0.6146291494369507,0.01,,,,1042,3.0812173936856726,0.7808610200881958,constant,10,2,32,1,42,
leaky_relu,0.6146292090415955,0.01,,,,2042,3.0812173936856726,0.7808607816696167,constant,10,2,32,2,42,
leaky_relu,0.6148333549499512,0.01,0.7505009088743448,18.97180796649267,0.7771434783935547,42,,,constant,20,2,,0,42,0.02496375694299293
leaky_relu,0.6148333549499512,0.01,0.7505009088743448,18.97180796649267,0.7771434783935547,1042,,,constant,20,2,,1,42,0.02496375694299293
leaky_relu,0.6148333549499512,0.01,0.7505009088743448,18.97180796649267,0.7771434783935547,2042,,,constant,20,2,,2,42,0.02496375694299293
leaky_relu,0.6148333549499512,0.01,0.7505009088743448,18.97180796649267,0.7771434783935547,42,3.0649276181465965,0.7757596373558044,constant,20,2,8,0,42,0.02496375694299293
leaky_relu,0.6148333549499512,0.01,0.7505009088743448,18.97180796649267,0.7771434783935547,1042,3.0232494618477337,0.7730066776275635,constant,20,2,8,1,42,0.02496375694299293
leaky_relu,0.6148333549499512,0.01,0.7505009088743448,18.97180796649267,0.7771434783935547,2042,2.7151425448733275,0.7704126834869385,constant,20,2,8,2,42,0.02496375694299293
leaky_relu,0.6121929883956909,0.01,,,,42,5.910722608299558,0.772606372833252,constant,20,2,32,0,42,
leaky_relu,0.6124470233917236,0.01,,,,1042,5.910722608299558,0.7726517915725708,constant,20,2,32,1,42,
leaky_relu,0.6121931076049805,0.01,,,,2042,5.910722608299558,0.7726069688796997,constant,20,2,32,2,42,
leaky_relu,0.6206285953521729,0.01,0.7483909285570833,98.3409669945006,0.7991906404495239,42,,,constant,100,2,,0,42,0.025093954834865005
leaky_relu,0.6206285953521729,0.01,0.7483909285570833,98.3409669945006,0.7991906404495239,1042,,,constant,100,2,,1,42,0.025093954834865005
leaky_relu,0.6206285953521729,0.01,0.7483909285570833,98.3409669945006,0.7991906404495239,2042,,,constant,100,2,,2,42,0.025093954834865005
leaky_relu,0.6206285953521729,0.01,0.7483909285570833,98.3409669945006,0.7991906404495239,42,13.852918420732099,0.7748773694038391,constant,100,2,8,0,42,0.025093954834865005
leaky_relu,0.6206285953521729,0.01,0.7483909285570833,98.3409669945006,0.7991906404495239,1042,13.57205632072909,0.7666530609130859,constant,100,2,8,1,42,0.025093954834865005
leaky_relu,0.6206285953521729,0.01,0.7483909285570833,98.3409669945006,0.7991906404495239,2042,12.011164190714199,0.7659268975257874,constant,100,2,8,2,42,0.025093954834865005
leaky_relu,0.6206761598587036,0.01,,,,42,27.62304646392392,0.809468150138855,constant,100,2,32,0,42,
leaky_relu,0.6216440200805664,0.01,,,,1042,27.62304646392392,0.8132154941558838,constant,100,2,32,1,42,
leaky_relu,0.6207032799720764,0.01,,,,2042,27.62304646392392,0.8094660043716431,constant,100,2,32,2,42,
