activation,control_ssim,effective_lr,feature_stability,full_linearization_error,full_ssim,lora_linearization_error,lora_ssim,lr,lr_schedule,n_steps,phase,rank,seed,weight_change
leaky_relu,0.41446632146835327,0.001,0.9643946402417884,1.793465908543862e-14,0.6271456480026245,,,0.001,constant,1,5,,42,0.0024928565028137766
leaky_relu,0.41446632146835327,0.001,0.9643946402417884,1.793465908543862e-14,0.6271456480026245,1.018830457715763,0.5336442589759827,0.001,constant,1,5,8,42,0.0024928565028137766
leaky_relu,0.37589406967163086,0.001,,,,1.0200198008020944,0.5432209968566895,0.001,constant,1,5,32,42,
leaky_relu,0.6398221850395203,0.001,0.8349284136286015,0.3779434910603091,0.8739551305770874,,,0.001,constant,5,5,,42,0.009593222204304233
leaky_relu,0.6398221850395203,0.001,0.8349284136286015,0.3779434910603091,0.8739551305770874,1.027931695562967,0.667780876159668,0.001,constant,5,5,8,42,0.009593222204304233
leaky_relu,0.625747561454773,0.001,,,,1.0596767906463798,0.8211678862571716,0.001,constant,5,5,32,42,
leaky_relu,0.629507303237915,0.001,0.816997912446757,1.2841674040949766,0.8363942503929138,,,0.001,constant,10,5,,42,0.011155678182667004
leaky_relu,0.629507303237915,0.001,0.816997912446757,1.2841674040949766,0.8363942503929138,1.030650838006417,0.8006921410560608,0.001,constant,10,5,8,42,0.011155678182667004
leaky_relu,0.6258983612060547,0.001,,,,1.0725430860421674,0.821508526802063,0.001,constant,10,5,32,42,
leaky_relu,0.6103202700614929,0.001,0.7962950071161659,8.27462783868564,0.7787518501281738,,,0.001,constant,50,5,,42,0.013502997202455626
leaky_relu,0.6103202700614929,0.001,0.7962950071161659,8.27462783868564,0.7787518501281738,1.2750899522857144,0.7824063301086426,0.001,constant,50,5,8,42,0.013502997202455626
leaky_relu,0.6129790544509888,0.001,,,,1.9202921743418262,0.7851841449737549,0.001,constant,50,5,32,42,
leaky_relu,0.6142300367355347,0.001,0.7881773949120752,16.353704842997693,0.7773851156234741,,,0.001,constant,100,5,,42,0.014403012297349044
leaky_relu,0.6142300367355347,0.001,0.7881773949120752,16.353704842997693,0.7773851156234741,1.8564920563302567,0.7800753116607666,0.001,constant,100,5,8,42,0.014403012297349044
leaky_relu,0.6138274669647217,0.001,,,,3.4097806150747245,0.7788165211677551,0.001,constant,100,5,32,42,
leaky_relu,0.6926839351654053,0.005,0.8172977782714712,3.581754559897477e-15,0.9999909400939941,,,0.005,constant,1,5,,42,0.012464282514068885
leaky_relu,0.6926839351654053,0.005,0.8172977782714712,3.581754559897477e-15,0.9999909400939941,1.0188304577157627,0.7350907325744629,0.005,constant,1,5,8,42,0.012464282514068885
leaky_relu,0.6274179220199585,0.005,,,,1.0200198008020944,0.8297133445739746,0.005,constant,1,5,32,42,
leaky_relu,0.6227651834487915,0.005,0.8023703343684212,3.477516962439309,0.80823814868927,,,0.005,constant,5,5,,42,0.013937541996297534
leaky_relu,0.6227651834487915,0.005,0.8023703343684212,3.477516962439309,0.80823814868927,1.0698341735941228,0.7929224967956543,0.005,constant,5,5,8,42,0.013937541996297534
leaky_relu,0.6194571852684021,0.005,,,,1.2328738528832783,0.806094765663147,0.005,constant,5,5,32,42,
leaky_relu,0.6150528192520142,0.005,0.7989725082414414,7.554318070663815,0.7858531475067139,,,0.005,constant,10,5,,42,0.014586150414725071
leaky_relu,0.6150528192520142,0.005,0.7989725082414414,7.554318070663815,0.7858531475067139,1.2498697929574891,0.7848683595657349,0.005,constant,10,5,8,42,0.014586150414725071
leaky_relu,0.6139068007469177,0.005,,,,1.8472131167352457,0.7875259518623352,0.005,constant,10,5,32,42,
leaky_relu,0.6130883693695068,0.005,0.7793595568419712,37.30946695748844,0.7708984613418579,,,0.005,constant,50,5,,42,0.01627512948526432
leaky_relu,0.6130883693695068,0.005,0.7793595568419712,37.30946695748844,0.7708984613418579,3.8262443486569895,0.7735100984573364,0.005,constant,50,5,8,42,0.01627512948526432
leaky_relu,0.6119372844696045,0.005,,,,7.750130874211799,0.7707725763320923,0.005,constant,50,5,32,42,
leaky_relu,0.6124343872070312,0.005,0.7736455824566151,72.06278610700626,0.7675831317901611,,,0.005,constant,100,5,,42,0.017064507617045824
leaky_relu,0.6124343872070312,0.005,0.7736455824566151,72.06278610700626,0.7675831317901611,7.284233532972299,0.776146411895752,0.005,constant,100,5,8,42,0.017064507617045824
leaky_relu,0.6142990589141846,0.005,,,,14.962243405817672,0.7687081098556519,0.005,constant,100,5,32,42,
leaky_relu,0.6926798224449158,0.01,0.7518247206960298,1.794161185960872e-15,0.9999916553497314,,,0.01,constant,1,5,,42,0.02492856502813777
leaky_relu,0.6926798224449158,0.01,0.7518247206960298,1.794161185960872e-15,0.9999916553497314,1.0188304577157627,0.8149951696395874,0.01,constant,1,5,8,42,0.02492856502813777
leaky_relu,0.6277834177017212,0.01,,,,1.0200198008020944,0.8300708532333374,0.01,constant,1,5,32,42,
leaky_relu,0.6224918365478516,0.01,0.7518170764185248,3.99848124606526,0.8054165244102478,,,0.01,constant,5,5,,42,0.024936140054362562
leaky_relu,0.6224918365478516,0.01,0.7518170764185248,3.99848124606526,0.8054165244102478,1.2099478063421438,0.7884688377380371,0.01,constant,5,5,8,42,0.024936140054362562
leaky_relu,0.6152764558792114,0.01,,,,1.7212963876654424,0.7908562421798706,0.01,constant,5,5,32,42,
leaky_relu,0.6174185276031494,0.01,0.750978051974456,8.99321670051021,0.787707507610321,,,0.01,constant,10,5,,42,0.024945487748499216
leaky_relu,0.6174185276031494,0.01,0.750978051974456,8.99321670051021,0.787707507610321,1.7239446427214666,0.7836414575576782,0.01,constant,10,5,8,42,0.024945487748499216
leaky_relu,0.6148051023483276,0.01,,,,3.0812173936856726,0.7811087369918823,0.01,constant,10,5,32,42,
leaky_relu,0.6132067441940308,0.01,0.7489127631422919,48.825718262866936,0.7704281806945801,,,0.01,constant,50,5,,42,0.025015767862091566
leaky_relu,0.6132067441940308,0.01,0.7489127631422919,48.825718262866936,0.7704281806945801,6.950404369396263,0.7769880890846252,0.01,constant,50,5,8,42,0.025015767862091566
leaky_relu,0.6142464280128479,0.01,,,,14.225168746861849,0.7687844038009644,0.01,constant,50,5,32,42,
leaky_relu,0.6206285953521729,0.01,0.7483909285570833,98.3409669945006,0.7991906404495239,,,0.01,constant,100,5,,42,0.025093954834865005
leaky_relu,0.6206285953521729,0.01,0.7483909285570833,98.3409669945006,0.7991906404495239,13.49693474790692,0.8027966022491455,0.01,constant,100,5,8,42,0.025093954834865005
leaky_relu,0.6206761598587036,0.01,,,,27.62304646392392,0.809468150138855,0.01,constant,100,5,32,42,
leaky_relu,0.6926798224449158,0.05,0.387765141356219,3.666518557409392e-16,0.9999916553497314,,,0.05,constant,1,5,,42,0.12464282514068885
leaky_relu,0.6926798224449158,0.05,0.387765141356219,3.666518557409392e-16,0.9999916553497314,1.0188304577157627,0.8225780725479126,0.05,constant,1,5,8,42,0.12464282514068885
leaky_relu,0.6288870573043823,0.05,,,,1.0200198008020946,0.8348891139030457,0.05,constant,1,5,32,42,
leaky_relu,0.6279295086860657,0.05,0.387765141356219,3.999999999999999,0.8288415670394897,,,0.05,constant,5,5,,42,0.12464282514068885
leaky_relu,0.6279295086860657,0.05,0.387765141356219,3.999999999999999,0.8288415670394897,1.7084005907372108,0.7984521389007568,0.05,constant,5,5,8,42,0.12464282514068885
leaky_relu,0.6218605637550354,0.05,,,,2.4109792819892504,0.8071160912513733,0.05,constant,5,5,32,42,
leaky_relu,0.6296366453170776,0.05,0.387765141356219,9.0,0.8362451195716858,,,0.05,constant,10,5,,42,0.12464282514068885
leaky_relu,0.6296366453170776,0.05,0.387765141356219,9.0,0.8362451195716858,3.024580538520833,0.8115090131759644,0.05,constant,10,5,8,42,0.12464282514068885
leaky_relu,0.6258757710456848,0.05,,,,4.706609882635114,0.821918249130249,0.05,constant,10,5,32,42,
leaky_relu,nan,0.05,0.387765141356219,48.99999999999999,nan,,,0.05,constant,50,5,,42,0.12464282514068885
leaky_relu,nan,0.05,0.387765141356219,48.99999999999999,nan,14.605700207610477,nan,0.05,constant,50,5,8,42,0.12464282514068885
leaky_relu,nan,0.05,,,,23.82896503996172,nan,0.05,constant,50,5,32,42,
leaky_relu,nan,0.05,0.387765141356219,98.99999999999999,nan,,,0.05,constant,100,5,,42,0.12464282514068885
leaky_relu,nan,0.05,0.387765141356219,98.99999999999999,nan,29.201095259830034,nan,0.05,constant,100,5,8,42,0.12464282514068885
leaky_relu,nan,0.05,,,,47.82543760074546,nan,0.05,constant,100,5,32,42,
