activation,control_ssim,full_ssim,lora_ssim,n_steps,optimizer,rank,seed,track,verify_weight
leaky_relu,0.6926798224449158,0.9999916553497314,,1,sgd,,42,B2,0.01
leaky_relu,0.6367954015731812,,0.8302084803581238,1,sgd,8,42,B2,0.01
leaky_relu,0.6174185276031494,0.787707507610321,,10,sgd,,42,B2,0.01
leaky_relu,0.6222379207611084,,0.7802556157112122,10,sgd,8,42,B2,0.01
leaky_relu,0.6926798224449158,0.9999916553497314,,1,sgd,,42,B2,0.1
leaky_relu,0.6367954015731812,,0.8302084803581238,1,sgd,8,42,B2,0.1
leaky_relu,0.6174185276031494,0.787707507610321,,10,sgd,,42,B2,0.1
leaky_relu,0.6222379207611084,,0.7802556157112122,10,sgd,8,42,B2,0.1
leaky_relu,0.6926798224449158,0.9999916553497314,,1,sgd,,42,B2,1.0
leaky_relu,0.6367954015731812,,0.8302084803581238,1,sgd,8,42,B2,1.0
leaky_relu,0.6174185276031494,0.787707507610321,,10,sgd,,42,B2,1.0
leaky_relu,0.6222379207611084,,0.7802556157112122,10,sgd,8,42,B2,1.0
leaky_relu,0.6926798224449158,0.9999916553497314,,1,sgd,,42,B2,10.0
leaky_relu,0.6367954015731812,,0.8302084803581238,1,sgd,8,42,B2,10.0
leaky_relu,0.6174185276031494,0.787707507610321,,10,sgd,,42,B2,10.0
leaky_relu,0.6222379207611084,,0.7802556157112122,10,sgd,8,42,B2,10.0
