activation,control_ssim,lora_ssim,n_steps,optimizer,rank,seed,track
leaky_relu,0.5543314218521118,0.7534084320068359,1,lbfgs,8,42,B3a
leaky_relu,0.3820183277130127,0.5701037049293518,1,lbfgs,32,42,B3a
relu,0.26914045214653015,0.38975465297698975,1,lbfgs,8,42,B3a
relu,0.140974223613739,0.2085762321949005,1,lbfgs,32,42,B3a
leaky_relu,0.6367954015731812,0.8302084803581238,1,sgd,8,42,B3a
leaky_relu,0.6277834177017212,0.8300708532333374,1,sgd,32,42,B3a
relu,0.13975889980793,0.18486803770065308,1,sgd,8,42,B3a
relu,0.4283650517463684,0.5734070539474487,1,sgd,32,42,B3a
leaky_relu,0.6363356113433838,0.8295191526412964,1,adam,8,42,B3a
leaky_relu,0.6281793117523193,0.8299193382263184,1,adam,32,42,B3a
relu,0.09478870779275894,0.14560146629810333,1,adam,8,42,B3a
relu,0.44843971729278564,0.5975344181060791,1,adam,32,42,B3a
