activation,control_ssim,lora_ssim,n_steps,optimizer,rank,seed,track
leaky_relu,0.6367953419685364,0.8302083015441895,1,sgd,8,42,B3b
leaky_relu,0.6277834177017212,0.8300708532333374,1,sgd,32,42,B3b
leaky_relu,0.6244391202926636,0.7929937839508057,5,sgd,8,42,B3b
leaky_relu,0.6152764558792114,0.7908562421798706,5,sgd,32,42,B3b
leaky_relu,0.6222367286682129,0.7802477478981018,10,sgd,8,42,B3b
leaky_relu,0.6146292090415955,0.7808607220649719,10,sgd,32,42,B3b
leaky_relu,0.6163362264633179,0.7757885456085205,20,sgd,8,42,B3b
leaky_relu,0.6121927499771118,0.7726056575775146,20,sgd,32,42,B3b
leaky_relu,nan,nan,100,sgd,8,42,B3b
leaky_relu,nan,nan,100,sgd,32,42,B3b
