activation,control_ssim,full_ssim,lora_ssim,lr_schedule,n_per_class,n_steps,n_total,optimizer,rank,seed,track
leaky_relu,0.6926798224449158,0.9999916553497314,,constant,1,1,2,sgd,,42,B5
leaky_relu,0.6367954015731812,,0.8302084803581238,constant,1,1,2,sgd,8,42,B5
leaky_relu,0.629507303237915,0.8363942503929138,,inv_T,1,10,2,sgd,,42,B5
leaky_relu,0.6305353045463562,,0.8131872415542603,inv_T,1,10,2,sgd,8,42,B5
leaky_relu,0.31501278281211853,0.3701566159725189,,constant,3,1,6,sgd,,42,B5
leaky_relu,0.3080466687679291,,0.35319995880126953,constant,3,1,6,sgd,8,42,B5
leaky_relu,0.3048979938030243,0.36100223660469055,,inv_T,3,10,6,sgd,,42,B5
leaky_relu,0.2579105794429779,,0.3116720914840698,inv_T,3,10,6,sgd,8,42,B5
leaky_relu,0.24460451304912567,0.2772640585899353,,constant,5,1,10,sgd,,42,B5
leaky_relu,0.22415868937969208,,0.25528550148010254,constant,5,1,10,sgd,8,42,B5
leaky_relu,0.2287011444568634,0.26071709394454956,,inv_T,5,10,10,sgd,,42,B5
leaky_relu,0.2233377993106842,,0.254569947719574,inv_T,5,10,10,sgd,8,42,B5
leaky_relu,0.1713385283946991,0.18300104141235352,,constant,10,1,20,sgd,,42,B5
leaky_relu,0.16980043053627014,,0.18127350509166718,constant,10,1,20,sgd,8,42,B5
leaky_relu,0.17105960845947266,0.18281105160713196,,inv_T,10,10,20,sgd,,42,B5
leaky_relu,0.16967971622943878,,0.18116948008537292,inv_T,10,10,20,sgd,8,42,B5
