activation,consistency_weight,control_ssim,full_ssim,lora_ssim,lr_schedule,n_steps,optimizer,rank,seed,track
leaky_relu,0.0,0.4475451707839966,0.5577173233032227,,constant,1,sgd,,42,B7
leaky_relu,0.0,0.646690309047699,,0.8548626899719238,constant,1,sgd,8,42,B7
leaky_relu,0.0,0.4817894399166107,0.6028978228569031,,inv_T,10,sgd,,42,B7
leaky_relu,0.0,0.6508421897888184,,0.8632069230079651,inv_T,10,sgd,8,42,B7
leaky_relu,0.0,0.42152535915374756,0.5397459864616394,,inv_T,100,sgd,,42,B7
leaky_relu,0.0,0.6511870622634888,,0.8639518618583679,inv_T,100,sgd,8,42,B7
leaky_relu,0.0,0.41854536533355713,0.536421537399292,,inv_T,1000,sgd,,42,B7
leaky_relu,0.0,0.6512184143066406,,0.8640047907829285,inv_T,1000,sgd,8,42,B7
leaky_relu,0.1,0.6926798224449158,0.9999916553497314,,constant,1,sgd,,42,B7
leaky_relu,0.1,0.6377595663070679,,0.8318803310394287,constant,1,sgd,8,42,B7
leaky_relu,0.1,0.6297323703765869,0.8376041650772095,,inv_T,10,sgd,,42,B7
leaky_relu,0.1,0.6307477951049805,,0.8136060237884521,inv_T,10,sgd,8,42,B7
leaky_relu,0.1,0.6292402148246765,0.8358396887779236,,inv_T,100,sgd,,42,B7
leaky_relu,0.1,0.6305772066116333,,0.8130670785903931,inv_T,100,sgd,8,42,B7
leaky_relu,0.1,0.6291893720626831,0.8356711864471436,,inv_T,1000,sgd,,42,B7
leaky_relu,0.1,0.6305462121963501,,0.8130134344100952,inv_T,1000,sgd,8,42,B7
leaky_relu,1.0,0.6926798224449158,0.9999916553497314,,constant,1,sgd,,42,B7
leaky_relu,1.0,0.6367954015731812,,0.8302084803581238,constant,1,sgd,8,42,B7
leaky_relu,1.0,0.629507303237915,0.8363942503929138,,inv_T,10,sgd,,42,B7
leaky_relu,1.0,0.6305353045463562,,0.8131872415542603,inv_T,10,sgd,8,42,B7
leaky_relu,1.0,0.6289749145507812,0.8345026969909668,,inv_T,100,sgd,,42,B7
leaky_relu,1.0,0.6303459405899048,,0.81275475025177,inv_T,100,sgd,8,42,B7
leaky_relu,1.0,0.62892085313797,0.8343242406845093,,inv_T,1000,sgd,,42,B7
leaky_relu,1.0,0.6303203701972961,,0.8126999139785767,inv_T,1000,sgd,8,42,B7
leaky_relu,5.0,0.6926798224449158,0.9999916553497314,,constant,1,sgd,,42,B7
leaky_relu,5.0,0.636742115020752,,0.8301105499267578,constant,1,sgd,8,42,B7
leaky_relu,5.0,0.6294859051704407,0.8362730741500854,,inv_T,10,sgd,,42,B7
leaky_relu,5.0,0.6305218935012817,,0.8131618499755859,inv_T,10,sgd,8,42,B7
leaky_relu,5.0,0.6289463639259338,0.8343663215637207,,inv_T,100,sgd,,42,B7
leaky_relu,5.0,0.6303316354751587,,0.812735378742218,inv_T,100,sgd,8,42,B7
leaky_relu,5.0,0.6288929581642151,0.8341890573501587,,inv_T,1000,sgd,,42,B7
leaky_relu,5.0,0.630305290222168,,0.8126827478408813,inv_T,1000,sgd,8,42,B7
