activation,box_weight,consistency_weight,control_ssim,full_ssim,lora_ssim,lr_schedule,n_steps,optimizer,rank,seed,sub_sweep,track
leaky_relu,5.0,0.01,0.689563512802124,0.9914505481719971,,constant,1,sgd,,42,CW_sweep,B8
leaky_relu,5.0,0.01,0.6510956883430481,,0.8606001734733582,constant,1,sgd,8,42,CW_sweep,B8
leaky_relu,5.0,0.01,0.6311185359954834,0.8450641632080078,,inv_T,10,sgd,,42,CW_sweep,B8
leaky_relu,5.0,0.01,0.6302136182785034,,0.8205056190490723,inv_T,10,sgd,8,42,CW_sweep,B8
leaky_relu,5.0,0.5,0.6926798224449158,0.9999916553497314,,constant,1,sgd,,42,CW_sweep,B8
leaky_relu,5.0,0.5,0.6368861198425293,,0.8303646445274353,constant,1,sgd,8,42,CW_sweep,B8
leaky_relu,5.0,0.5,0.6295329928398132,0.8365415334701538,,inv_T,10,sgd,,42,CW_sweep,B8
leaky_relu,5.0,0.5,0.6305797100067139,,0.813286304473877,inv_T,10,sgd,8,42,CW_sweep,B8
leaky_relu,5.0,2.0,0.6926798224449158,0.9999916553497314,,constant,1,sgd,,42,CW_sweep,B8
leaky_relu,5.0,2.0,0.6367529034614563,,0.8301346302032471,constant,1,sgd,8,42,CW_sweep,B8
leaky_relu,5.0,2.0,0.6294940710067749,0.8363189101219177,,inv_T,10,sgd,,42,CW_sweep,B8
leaky_relu,5.0,2.0,0.6305268406867981,,0.8131711483001709,inv_T,10,sgd,8,42,CW_sweep,B8
leaky_relu,5.0,10.0,0.6926798224449158,0.9999916553497314,,constant,1,sgd,,42,CW_sweep,B8
leaky_relu,5.0,10.0,0.6367335319519043,,0.8300950527191162,constant,1,sgd,8,42,CW_sweep,B8
leaky_relu,5.0,10.0,0.629483163356781,0.8362576961517334,,inv_T,10,sgd,,42,CW_sweep,B8
leaky_relu,5.0,10.0,0.630520224571228,,0.8131588697433472,inv_T,10,sgd,8,42,CW_sweep,B8
leaky_relu,5.0,100.0,0.6926798224449158,0.9999916553497314,,constant,1,sgd,,42,CW_sweep,B8
leaky_relu,5.0,100.0,0.6367261409759521,,0.8300825357437134,constant,1,sgd,8,42,CW_sweep,B8
leaky_relu,5.0,100.0,0.6294807195663452,0.836243748664856,,inv_T,10,sgd,,42,CW_sweep,B8
leaky_relu,5.0,100.0,0.6305187940597534,,0.8131561279296875,inv_T,10,sgd,8,42,CW_sweep,B8
leaky_relu,0.0,1.0,0.6926798224449158,0.9999916553497314,,constant,1,sgd,,42,BW_sweep,B8
leaky_relu,0.0,1.0,0.6367954015731812,,0.8302084803581238,constant,1,sgd,8,42,BW_sweep,B8
leaky_relu,0.0,1.0,0.629507303237915,0.8363942503929138,,inv_T,10,sgd,,42,BW_sweep,B8
leaky_relu,0.0,1.0,0.6305353045463562,,0.8131872415542603,inv_T,10,sgd,8,42,BW_sweep,B8
leaky_relu,0.5,1.0,0.6926798224449158,0.9999916553497314,,constant,1,sgd,,42,BW_sweep,B8
leaky_relu,0.5,1.0,0.6367954015731812,,0.8302084803581238,constant,1,sgd,8,42,BW_sweep,B8
leaky_relu,0.5,1.0,0.629507303237915,0.8363942503929138,,inv_T,10,sgd,,42,BW_sweep,B8
leaky_relu,0.5,1.0,0.6305353045463562,,0.8131872415542603,inv_T,10,sgd,8,42,BW_sweep,B8
leaky_relu,1.0,1.0,0.6926798224449158,0.9999916553497314,,constant,1,sgd,,42,BW_sweep,B8
leaky_relu,1.0,1.0,0.6367954015731812,,0.8302084803581238,constant,1,sgd,8,42,BW_sweep,B8
leaky_relu,1.0,1.0,0.629507303237915,0.8363942503929138,,inv_T,10,sgd,,42,BW_sweep,B8
leaky_relu,1.0,1.0,0.6305353045463562,,0.8131872415542603,inv_T,10,sgd,8,42,BW_sweep,B8
leaky_relu,5.0,1.0,0.6926798224449158,0.9999916553497314,,constant,1,sgd,,42,BW_sweep,B8
leaky_relu,5.0,1.0,0.6367954015731812,,0.8302084803581238,constant,1,sgd,8,42,BW_sweep,B8
leaky_relu,5.0,1.0,0.629507303237915,0.8363942503929138,,inv_T,10,sgd,,42,BW_sweep,B8
leaky_relu,5.0,1.0,0.6305353045463562,,0.8131872415542603,inv_T,10,sgd,8,42,BW_sweep,B8
leaky_relu,20.0,1.0,0.6926798224449158,0.9999916553497314,,constant,1,sgd,,42,BW_sweep,B8
leaky_relu,20.0,1.0,0.6367954015731812,,0.8302084803581238,constant,1,sgd,8,42,BW_sweep,B8
leaky_relu,20.0,1.0,0.629507303237915,0.8363942503929138,,inv_T,10,sgd,,42,BW_sweep,B8
leaky_relu,20.0,1.0,0.6305353045463562,,0.8131872415542603,inv_T,10,sgd,8,42,BW_sweep,B8
leaky_relu,0.0,0.0,0.4475451707839966,0.5577173233032227,,constant,1,sgd,,42,bare,B8
leaky_relu,0.0,0.0,0.646690309047699,,0.8548626899719238,constant,1,sgd,8,42,bare,B8
leaky_relu,0.0,0.0,0.4817894399166107,0.6028978228569031,,inv_T,10,sgd,,42,bare,B8
leaky_relu,0.0,0.0,0.6508421897888184,,0.8632069230079651,inv_T,10,sgd,8,42,bare,B8
